Year,Rec,Rec_lo,Rec_hi,SSB,SSB_lo,SSB_hi,Catch,Landings,Discards,Biomass,Fbar,Fbar_lo,Fbar_hi
2002,77267.3,57015.5889627775,104706.868874209,12501.1816632002,10024.6,14977.4,6247.75518179889,4198.300638722,2049.45454307689,31157.91557941,0.36471425,0.27961,0.44981
2003,38573.7,30920.0462965087,48090.5032995073,11918.1975253432,9478.4,14357.6,4735.33256366322,3586.621348259,1148.71121540422,28297.24175155,0.34584225,0.2656,0.42608
2004,47696.9,38948.6737244889,58454.2689405675,12561.0371161692,9982.2,15139.8,4449.04182410107,3746.7094179585,702.332406142572,28343.16145721,0.329264,0.244656,0.413864
2005,42294.8,35021.2395254245,51036.1763275598,13135.639155413,10405.2,15866.8,4067.77937300059,3458.840431216,608.93894178459,28495.9218185,0.31560675,0.234834,0.396386
2006,40842.5,33629.4012321155,49555.275385789,13652.3773212048,10777.4,16526.6,4480.30709633511,3704.5865757325,775.720520602612,28902.36472098,0.30184825,0.224904,0.378796
2007,51775.4,42313.4380931373,63394.9826955733,13864.7871346504,10848,16882,4605.90739183509,3676.086971277,929.820420558087,30013.84768987,0.29003725,0.213024,0.367056
2008,70735,55828.5128032733,89676.1386644658,13691.4518505826,10597.2,16784.8,4733.81729880779,3476.453717779,1257.3635810288,33613.06046509,0.27395925,0.204976,0.342944
2009,110054,92131.4831111902,131534.966474157,14375.2670568988,11148.4,17601.6,4912.1822944119,3561.281022713,1350.9012716989,42916.30708764,0.24615475,0.182394,0.309906
2010,173358,143439.984468459,209468.364045728,17278.3164647082,13576.2,20979.8,5373.60672952911,3932.591218267,1441.01551126211,61235.56827102,0.20560035,0.151126,0.260074
2011,232267,189658.430676635,284651.242676665,24231.168248628,19283,29179,6530.13469209569,4701.877850752,1828.25684134369,87193.73807438,0.163874575,0.122502,0.205238
2012,117472,93606.9582518384,147434.604923554,36661.066112076,29301.8,44020.2,6117.98666285548,2976.893213897,3141.09344895848,95268.97358894,0.134496075,0.098832,0.170168
2013,122771,93813.120255044,160643.033637053,49923.725900748,39589.8,60258.2,6400.31561104295,3673.9529717206,2726.36263932235,96914.95086363,0.120730925,0.08925,0.15221
2014,145350,95761.8826379037,220660.367550513,55809.923723898,43407.8,68212.2,6133.87754300315,3288.186188515,2845.69135448815,97071.38214284,0.11822935,0.088066,0.148394
2015,67953,32032.2984718846,144278.393448623,54377.696315442,41362,67394,5787.65259816542,3253.15943936716,2534.49315879826,86361.20537165,0.122222,0.08314,0.1613
